Chapter,Question Description,Key,Marks,Difficulty Level
Print Culture,What was Gutenbergs first printed book?,Bible,2,1
Rise of Europe,Who was Frederic sorrieu?,A painter,5,2
Industrialization,First country to undergo industrial revolution is, Britain,5,2
Global world,What did indentured labour mean?,Bonded Labour,5,3
Industrialization,The paid servants of the East India Company were,Gomastha,10,2
Nationalism,At which place congress session of September 1920 held.,Calcutta,5,2
Rise of Europe,What was the basic philosophy of the conservatives?,They stressed the importance of tradition,2,3
Global world,What were Canal Colonies?,Irrigated areas,10,3
Print Culture,What were Penny Chapbooks?,Pocket – sized books,5,1
Rise of Europe,Who was count Cavour?,The chief Minister of Italy,2,2
Rise of Europe,Which treaty recognized Greece as an independent nation?,Treaty of Constantinople,2,3
Rise of Europe,Who were the architects of the unification of Germany?,The Prussian Chancellor Bismarck,10,2
Print Culture,Who introduced the printing press in India-,Portuguese,5,2
Rise of Europe,Explain the concept of a national state,citizens developed common identity,2,3
Industrialization,Which were the two most dynamic industries in Britain?,Cotton and Metal industries,2,1
Rise of Europe,Napoleon had no doubt destroyed ______ in France,democracy,5,1
Global world,Which was the Tabled city of gold?,El Doeodo,2,3
Industrialization,Who were the first European nations to come to India?,The Portuguese,10,3
Print Culture,Who wrote My childhood My university.,Maxim Gorky,2,3
Rise of Europe,What did Napoleon do in the territory that was under his control?,set about introducing many reforms,10,1
Global world,Who was known as the Bismarck of Italy?,Garibaldi was known as the Bismarck of Italy.,2,3
Print Culture,In India which of the following material was used for writing manuscripts?,Vellum,2,1
Nationalism,Who was the leader of the Peasant Movements of Awadh?,Baba Ramchandra,2,1
Nationalism,Name the leaders who founded Swaraj Party?,CR Das and Motilal Nehru,10,2
Rise of Europe,What type of conservative regimes were set up in 1815 in Europe?,Autocratic,5,1
Rise of Europe,Which artist painted the image of Germania?,Philip Veit,10,1
Global world,What was the time period of Great Depression?,1929-1930,5,2
Rise of Europe,Who played the leading role in the unification of Germany?,Otto von bismarck,5,2
Rise of Europe,Who was proclaimed the emperor of Germany in 1871?,Kaiser Wilhem 1,2,3
Print Culture,Which is the oldest printed book of Japan?,Diamond Sutra,5,2
Rise of Europe,Which territories were included under the Habsburg Empire?,Austria and Sudetenland,5,1
Industrialization,Who set up the first jute mill in Calcutta?,Seth Hukamchand,10,1
Global world,Who were the Allies in World War 1?,Britain France Russia US,10,3
Rise of Europe,What is Liberalism?,freedom for the individual and equality,2,2
Nationalism,Who wrote Hind Swaraj?,Mahatma Gandhi,2,2
Global world,Which areas did the Indian indentured workers come from?,UP and Bihar,5,1
Rise of Europe,What was conservatism?,different norms for different classes,5,1
Rise of Europe,In 1861 _______ was proclaimed king of united Italy.,Napolean,10,3
Print Culture,What is meant by calligraphy?,The art of beautiful handwriting.,2,1
Industrialization,Where was the Elgin Mill set up?, At Kanpur,5,2
Global world,Why were the Europeans attracted to Africa?,due to its vast resources of minerals,2,3
Print Culture,What was woodblock printing?, Paper was rubbed against woodblocks,2,3
Nationalism,What was the demand of 1929 sessions of the Congress at Lahore ?,Poorna Swaraj,10,1
Rise of Europe,Who said “ When France sneezes the rest of Europe catches cold. ,Metternich,10,3
Global world,Where was the demand for labour more that led to more migration?,America and Australia,2,1
Rise of Europe,What is Suffrage?,Right to vote,2,1
Print Culture,Who brought the first printing press to India?,The first printing press came to Goa,2,2
Print Culture,When and where were children Press set up?,Children Press in France in 1857.,2,2
Nationalism,In which year the Second Round Table Conference was held?,1931,10,3
Rise of Europe,When did Napoleon invade Italy?,1797,5,3
Industrialization,A fullers job is to,gather cloth by pleating,10,2
Nationalism,Who created the first image of Bharat Mata?,Bankim Chandra Chattopadhyay,5,3
Industrialization,The ports of Surat and Hoogly decayed in the,seventeenth century,5,1
Global world,Later which subcontinent became the centre of the world trade?,Europe,10,2
Nationalism,Why had the Congress ignored the dalits for long?,For fear of offending the sanatanis,2,3
Nationalism,Who announced a Dominion Status” for India and when?,Mountbatten 1939,10,3
Print Culture, By whom was  Sambad Kaumudi published in 1821?,Raja Rammohan Roy,10,3
Industrialization,Who was the typical worker in the mid-nineteenth century?,Craftsperson and labourer,2,3
Global world, Who was a Dissenter ?,who refuses to accept established beliefs,10,3
Print Culture,Who wrote about the injustices of the caste system in Gulamgiri?,Jyotiba Phule,2,3
Industrialization,Who produced music book that Dawn of the Century?,ET Paul,5,2
Nationalism,When did the Non-Cooperation-Khilafat Movement begin?,1921,10,1
Print Culture,Who was Marcopolo?,Italian traveller,2,3
Global world,What was South Americas El Dorado fabled as in the 17th century?,city of gold,2,2
