Chapter,Question Description,Key,Marks,Difficulty Level
Chapter 5    ,Question 001,Answer 001,2,1
Chapter 1    ,Question 002,Answer 002,5,2
Chapter 4    ,Question 003,Answer 003,5,2
Chapter 3    ,Question 004,Answer 004,5,3
Chapter 4    ,Question 005,Answer 005,10,2
Chapter 2    ,Question 006,Answer 006,5,2
Chapter 1    ,Question 007,Answer 007,2,3
Chapter 3    ,Question 008,Answer 008,10,3
Chapter 5    ,Question 009,Answer 009,5,1
Chapter 1    ,Question 010,Answer 010,2,2
Chapter 1    ,Question 011,Answer 011,2,3
Chapter 1    ,Question 012,Answer 012,10,2
Chapter 5    ,Question 013,Answer 013,5,2
Chapter 1    ,Question 014,Answer 014,2,3
Chapter 4    ,Question 015,Answer 015,2,1
Chapter 1    ,Question 016,Answer 016,5,1
Chapter 3    ,Question 017,Answer 017,2,3
Chapter 4    ,Question 018,Answer 018,10,3
Chapter 5    ,Question 019,Answer 019,2,3
Chapter 1    ,Question 020,Answer 020,10,1
Chapter 3    ,Question 021,Answer 021,2,3
Chapter 5    ,Question 022,Answer 022,2,1
Chapter 2    ,Question 023,Answer 023,2,1
Chapter 2    ,Question 024,Answer 024,10,2
Chapter 1    ,Question 025,Answer 025,5,1
Chapter 1    ,Question 026,Answer 026,10,1
Chapter 3    ,Question 027,Answer 027,5,2
Chapter 1    ,Question 028,Answer 028,5,2
Chapter 1    ,Question 029,Answer 029,2,3
Chapter 5    ,Question 030,Answer 030,5,2
Chapter 1    ,Question 031,Answer 031,5,1
Chapter 4    ,Question 032,Answer 032,10,1
Chapter 3    ,Question 033,Answer 033,10,3
Chapter 1    ,Question 034,Answer 034,2,2
Chapter 2    ,Question 035,Answer 035,2,2
Chapter 3    ,Question 036,Answer 036,5,1
Chapter 1    ,Question 037,Answer 037,5,1
Chapter 1    ,Question 038,Answer 038,10,3
Chapter 5    ,Question 039,Answer 039,2,1
Chapter 4    ,Question 040,Answer 040,5,2
Chapter 3    ,Question 041,Answer 041,2,3
Chapter 5    ,Question 042,Answer 042,2,3
Chapter 2    ,Question 043,Answer 043,10,1
Chapter 1    ,Question 044,Answer 044,10,3
Chapter 3    ,Question 045,Answer 045,2,1
Chapter 1    ,Question 046,Answer 046,2,1
Chapter 5    ,Question 047,Answer 047,2,2
Chapter 5    ,Question 048,Answer 048,2,2
Chapter 2    ,Question 049,Answer 049,10,3
Chapter 1    ,Question 050,Answer 050,5,3
Chapter 4    ,Question 051,Answer 051,10,2
Chapter 2    ,Question 052,Answer 052,5,3
Chapter 4    ,Question 053,Answer 053,5,1
Chapter 3    ,Question 054,Answer 054,10,2
Chapter 2    ,Question 055,Answer 055,2,3
Chapter 2    ,Question 056,Answer 056,10,3
Chapter 5    ,Question 057,Answer 057,10,3
Chapter 4    ,Question 058,Answer 058,2,3
Chapter 3    ,Question 059,Answer 059,10,3
Chapter 5    ,Question 060,Answer 060,2,3
Chapter 4    ,Question 061,Answer 061,5,2
Chapter 2    ,Question 062,Answer 062,10,1
Chapter 5    ,Question 063,Answer 063,2,3
Chapter 3    ,Question 064,Answer 064,2,2
Chapter 3    ,Question 065,Answer 065,10,1
Chapter 3    ,Question 066,Answer 066,2,1
Chapter 1    ,Question 067,Answer 067,2,3
Chapter 1    ,Question 068,Answer 068,5,2
Chapter 5    ,Question 069,Answer 069,5,1
Chapter 5    ,Question 070,Answer 070,5,3
Chapter 2    ,Question 071,Answer 071,10,1
Chapter 1    ,Question 072,Answer 072,10,2
Chapter 4    ,Question 073,Answer 073,10,2
Chapter 5    ,Question 074,Answer 074,2,1
Chapter 4    ,Question 075,Answer 075,2,1
Chapter 2    ,Question 076,Answer 076,10,3
Chapter 2    ,Question 077,Answer 077,5,2
Chapter 5    ,Question 078,Answer 078,2,2
Chapter 4    ,Question 079,Answer 079,2,3
Chapter 4    ,Question 080,Answer 080,10,3
Chapter 4    ,Question 081,Answer 081,2,3
Chapter 2    ,Question 082,Answer 082,2,1
Chapter 4    ,Question 083,Answer 083,5,1
Chapter 4    ,Question 084,Answer 084,2,3
Chapter 5    ,Question 085,Answer 085,5,1
Chapter 2    ,Question 086,Answer 086,10,3
Chapter 2    ,Question 087,Answer 087,5,3
Chapter 1    ,Question 088,Answer 088,5,3
Chapter 2    ,Question 089,Answer 089,2,2
Chapter 5    ,Question 090,Answer 090,5,2
Chapter 5    ,Question 091,Answer 091,10,2
Chapter 5    ,Question 092,Answer 092,10,2
Chapter 3    ,Question 093,Answer 093,5,3
Chapter 2    ,Question 094,Answer 094,10,3
Chapter 1    ,Question 095,Answer 095,5,2
Chapter 4    ,Question 096,Answer 096,2,2
Chapter 5    ,Question 097,Answer 097,5,1
Chapter 1    ,Question 098,Answer 098,2,1
Chapter 2    ,Question 099,Answer 099,10,3
Chapter 5    ,Question 100,Answer 100,10,3
Chapter 3    ,Question 101,Answer 101,5,2
Chapter 4    ,Question 102,Answer 102,10,2
Chapter 1    ,Question 103,Answer 103,10,1
Chapter 2    ,Question 104,Answer 104,2,1
Chapter 5    ,Question 105,Answer 105,5,3
Chapter 5    ,Question 106,Answer 106,5,3
Chapter 4    ,Question 107,Answer 107,10,3
Chapter 4    ,Question 108,Answer 108,5,1
Chapter 2    ,Question 109,Answer 109,10,3
Chapter 3    ,Question 110,Answer 110,10,2
Chapter 3    ,Question 111,Answer 111,10,2
Chapter 2    ,Question 112,Answer 112,2,2
Chapter 3    ,Question 113,Answer 113,10,1
Chapter 3    ,Question 114,Answer 114,10,3
Chapter 2    ,Question 115,Answer 115,5,2
Chapter 4    ,Question 116,Answer 116,2,1
Chapter 4    ,Question 117,Answer 117,2,3
Chapter 1    ,Question 118,Answer 118,10,1
Chapter 4    ,Question 119,Answer 119,5,1
Chapter 2    ,Question 120,Answer 120,2,1
Chapter 4    ,Question 121,Answer 121,5,1
Chapter 3    ,Question 122,Answer 122,2,2
Chapter 5    ,Question 123,Answer 123,5,2
Chapter 5    ,Question 124,Answer 124,2,1
Chapter 3    ,Question 125,Answer 125,2,1
Chapter 2    ,Question 126,Answer 126,10,1
Chapter 5    ,Question 127,Answer 127,5,2
Chapter 2    ,Question 128,Answer 128,2,2
Chapter 1    ,Question 129,Answer 129,5,2
Chapter 4    ,Question 130,Answer 130,10,3
Chapter 5    ,Question 131,Answer 131,10,1
Chapter 4    ,Question 132,Answer 132,5,1
Chapter 3    ,Question 133,Answer 133,2,2
Chapter 5    ,Question 134,Answer 134,5,1
Chapter 1    ,Question 135,Answer 135,5,1
Chapter 1    ,Question 136,Answer 136,5,2
Chapter 5    ,Question 137,Answer 137,5,2
Chapter 4    ,Question 138,Answer 138,2,2
Chapter 3    ,Question 139,Answer 139,10,2
Chapter 5    ,Question 140,Answer 140,5,3
Chapter 4    ,Question 141,Answer 141,2,1
Chapter 2    ,Question 142,Answer 142,2,1
Chapter 5    ,Question 143,Answer 143,5,1
Chapter 3    ,Question 144,Answer 144,10,1
Chapter 2    ,Question 145,Answer 145,5,2
Chapter 4    ,Question 146,Answer 146,5,2
Chapter 4    ,Question 147,Answer 147,10,1
Chapter 4    ,Question 148,Answer 148,5,1
