Spec No, Marks, Chapter Name, Difficulty Level, Questions In Bank, Questions Set
1, 2, Chapter 1    , 1, 2, 2
2, 2, Chapter 1    , 2, 2, 2
3, 2, Chapter 1    , 3, 5, 2
4, 2, Chapter 2    , 1, 5, 5
5, 2, Chapter 2    , 2, 4, 1
6, 2, Chapter 2    , 3, 1, 1
7, 2, Chapter 3    , 1, 3, 0
8, 2, Chapter 3    , 2, 3, 3
9, 2, Chapter 3    , 3, 3, 0
10, 2, Chapter 4    , 1, 4, 4
11, 2, Chapter 4    , 2, 2, 2
12, 2, Chapter 4    , 3, 5, 5
13, 2, Chapter 5    , 1, 5, 0
14, 2, Chapter 5    , 2, 3, 0
15, 2, Chapter 5    , 3, 4, 2
16, 5, Chapter 1    , 1, 5, 1
17, 5, Chapter 1    , 2, 6, 1
18, 5, Chapter 1    , 3, 2, 1
19, 5, Chapter 2    , 2, 4, 1
20, 5, Chapter 2    , 3, 2, 1
21, 5, Chapter 3    , 1, 1, 1
22, 5, Chapter 3    , 2, 2, 1
23, 5, Chapter 3    , 3, 2, 1
24, 5, Chapter 4    , 1, 7, 0
25, 5, Chapter 4    , 2, 4, 0
26, 5, Chapter 5    , 1, 6, 0
27, 5, Chapter 5    , 2, 6, 0
28, 5, Chapter 5    , 3, 4, 0
29, 10, Chapter 1    , 1, 4, 0
30, 10, Chapter 1    , 2, 2, 0
31, 10, Chapter 1    , 3, 2, 0
32, 10, Chapter 2    , 1, 4, 0
33, 10, Chapter 2    , 2, 1, 0
34, 10, Chapter 2    , 3, 7, 0
35, 10, Chapter 3    , 1, 3, 0
36, 10, Chapter 3    , 2, 4, 0
37, 10, Chapter 3    , 3, 4, 0
38, 10, Chapter 4    , 1, 2, 0
39, 10, Chapter 4    , 2, 4, 0
40, 10, Chapter 4    , 3, 4, 0
41, 10, Chapter 5    , 1, 1, 0
42, 10, Chapter 5    , 2, 2, 0
43, 10, Chapter 5    , 3, 2, 0
